uniprot,Protein.Acc,Protein.Descriptions,up/low,P value.(up/low)
Q9M1X8,AT3G59980.1,"Nucleic acid-binding, OB-fold-like protein",1.076272532,0.40109194
Q42583,AT1G32380.1,phosphoribosyl pyrophosphate (PRPP) synthase 2,1.076034058,0.286604111
Q9SMR5,AT4G39880.1,Ribosomal protein L23/L15e family protein,1.075661991,0.051532707
Q682P6,AT1G25375.1,Metallo-hydrolase/oxidoreductase superfamily protein,1.075645874,0.174893449
Q9FG71,AT5G55940.1,Uncharacterised protein family (UPF0172),1.075572483,0.298958356
O22211,AT2G41490.1,UDP-glcnac-adolichol phosphate glcnac-1-p-transferase,1.075560303,0.38182677
Q9LVM3,AT5G58250.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2488 (InterPro:IPR019616); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",1.075314866,0.30302048
Q1JPL7,AT1G11580.1,methylesterase PCR A,1.074125813,0.263948064
Q9SH88,AT2G37990.1,ribosome biogenesis regulatory protein (RRS1) family protein,1.074024126,0.148824315
Q9LEU8,AT5G10920.1,L-Aspartase-like family protein,1.0736557,0.142468975
Q9LS40,AT3G18490.1,Eukaryotic aspartyl protease family protein,1.072872669,0.163503927
P49689,AT2G19750.1,Ribosomal protein S30 family protein,1.072529446,0.470683322
Q8VY57,AT3G49870.1,ADP-ribosylation factor-like A1C,1.07225362,0.352483677
Q8L6Z4,AT3G49080.1,Ribosomal protein S5 domain 2-like superfamily protein,1.072145485,0.104682661
Q9SF91,AT3G09900.1,RAB GTPase homolog E1E,1.07171031,0.374841222
Q93ZI7,AT5G35430.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.071699649,0.143620975
Q9SCP9,AT3G53120.1,Modifier of rudimentary (Mod(r)) protein,1.071585853,0.539144974
Q9LHP1,AT3G13580.3,Ribosomal protein L30/L7 family protein,1.071504666,0.112916019
Q9SV68,AT4G13010.1,"Oxidoreductase, zinc-binding dehydrogenase family protein",1.070578133,0.171631243
P56785,ATCG01130.1,Ycf1 protein,1.069961041,0.450387522
Q43291,AT1G09590.1,Translation protein SH3-like family protein,1.068925273,0.550423018
O22793,AT2G33430.1,differentiation and greening-like 1,1.0688595,0.42149047
Q94A68,AT1G06690.1,NAD(P)-linked oxidoreductase superfamily protein,1.068493532,0.680426161
Q9LEX5,AT3G60980.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.068435043,0.608555738
O80626,AT2G39390.1,Ribosomal L29 family protein,1.068318274,0.454424065
Q8S3U9,AT1G76850.1,exocyst complex component sec5,1.067991136,0.05024657
Q9C6D2,AT1G49820.1,S-methyl-5-thioribose kinase,1.067690366,0.29602615
Q8L636,AT1G53210.1,sodium/calcium exchanger family protein / calcium-binding EF hand family protein,1.066860643,0.283432432
Q9LT68,AT3G19490.1,sodium:hydrogen antiporter 1,1.06679767,0.564855492
P92943,AT5G26240.1,chloride channel D,1.066414394,0.396736848
Q8L5Y0,AT4G36630.1,Vacuolar sorting protein 39,1.06623067,0.517267484
Q9LZI4,AT3G62810.1,complex 1 family protein / LVR family protein,1.066112541,0.592830074
Q9SRX2,AT1G02780.1,Ribosomal protein L19e family protein,1.06596478,0.146305064
O80833,AT2G45860.1,unknown protein; Has 32 Blast hits to 32 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.065908921,0.36425384
Q29Q26,AT2G17390.1,ankyrin repeat-containing 2B,1.06553209,0.195701201
Q9FNM7,AT5G08610.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,1.064814959,0.552952399
O23247,AT4G26300.1,"Arginyl-tRNA synthetase, class Ic",1.063800787,0.120114228
Q940I2,AT5G03880.1,Thioredoxin family protein,1.062952289,0.383415309
Q9M2L3,AT3G57340.1,"Heat shock protein DnaJ, N-terminal with domain of unknown function (DUF1977)",1.062512724,0.123429078
Q6XJG8,AT4G28470.1,26S proteasome regulatory subunit S2 1B,1.062061783,0.534575717
Q8H0U5,AT3G18890.1,NAD(P)-binding Rossmann-fold superfamily protein,1.061643171,0.394247285
P46286,AT2G18020.1,Ribosomal protein L2 family,1.061573947,0.309012418
Q8L776,AT3G51610.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 53 Blast hits to 53 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).,1.060765993,0.549261023
Q9LFV8,AT5G15680.1,ARM repeat superfamily protein,1.060744876,0.586566062
Q9M885,AT3G02560.2,Ribosomal protein S7e family protein,1.059861898,0.429651483
O81283,AT4G02510.1,translocon at the outer envelope membrane of chloroplasts 159,1.059806552,0.54436705
Q9SX53,AT1G50380.1,Prolyl oligopeptidase family protein,1.059577225,0.317198132
Q9FRL8,AT1G75270.1,dehydroascorbate reductase 2,1.059548922,0.619977706
Q8LD45,AT1G78040.2,Pollen Ole e 1 allergen and extensin family protein,1.059521898,0.590934235
O80952,AT2G39290.1,phosphatidylglycerolphosphate synthase 1,1.059370904,0.58474968
Q9LYN0,AT3G56110.2,prenylated RAB acceptor 1.B1,1.058800981,0.020941493
Q08770,AT1G26910.1,Ribosomal protein L16p/L10e family protein,1.05758229,0.323852696
Q9SK74,AT2G20280.1,Zinc finger C-x8-C-x5-C-x3-H type family protein,1.057086001,0.264650217
Q39258,AT4G11150.1,vacuolar ATP synthase subunit E1,1.056798221,0.39222838
O82169,AT2G35240.1,"plastid developmental protein DAG, putative",1.056776366,0.682248608
Q8GXN6,AT5G63880.1,SNF7 family protein,1.0563328,0.321592012
Q8L908,AT5G55140.1,ribosomal protein L30 family protein,1.055388065,0.132797706
P43297,AT1G47128.1,Granulin repeat cysteine protease family protein,1.055114099,0.49431682
Q8LAP6,AT1G51110.1,Plastid-lipid associated protein PAP / fibrillin family protein,1.055039648,0.412901133
Q8LCW9,AT1G01100.2,60S acidic ribosomal protein family,1.054999261,0.588018531
Q9SGR6,AT1G76160.1,SKU5 similar 5,1.054745493,0.374992581
Q9LIN3,AT3G26420.1,RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain,1.054311608,0.413407802
Q9SDS7,AT1G12840.1,vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3),1.054118295,0.088318048
P16180,AT1G79850.1,ribosomal protein S17,1.053955999,0.478602065
Q9XIN6,AT2G27290.1,Protein of unknown function (DUF1279),1.05365696,0.451618222
Q38833,AT3G51820.1,UbiA prenyltransferase family protein,1.05349703,0.561872445
Q84R21,AT1G55930.1,CBS domain-containing protein / transporter associated domain-containing protein,1.053411032,0.392723818
Q9FNX5,AT3G60190.1,DYNAMIN-like 1E,1.053214939,0.562271009
Q9ZNQ5,AT2G01410.1,NHL domain-containing protein,1.052988571,0.311615885
Q8S8R9,AT2G34585.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 43 Blast hits to 43 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 43; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",1.052966528,0.611473554
Q8S926,AT2G45170.1,AUTOPHAGY 8E,1.052896572,0.633159359
Q9FLA9,AT5G05460.1,Glycosyl hydrolase family 85,1.052813139,0.284509821
Q42539,AT3G48330.1,protein-l-isoaspartate methyltransferase 1,1.052564373,0.815463544
Q6NQE4,AT4G04200.1,Microsomal signal peptidase 25 kDa subunit (SPC25),1.052491287,0.272089137
Q9SMW7,AT1G17880.1,basic transcription factor 3,1.052067768,0.481269282
Q8RXQ2,AT2G41160.1,Ubiquitin-associated (UBA) protein,1.051914483,0.821328669
Q9CAM7,AT1G63160.1,replication factor C 2,1.051376652,0.889552009
Q9SH28,AT1G63420.1,Arabidopsis thaliana protein of unknown function (DUF821),1.051170442,0.276794394
Q9FJI5,AT5G40760.1,glucose-6-phosphate dehydrogenase 6,1.051150776,0.20363313
Q93W54,AT5G08335.1,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,1.051027469,0.659058881
Q8L4R9,AT2G15860.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1.050818766,0.727095442
Q8RWH4,AT1G12640.1,MBOAT (membrane bound O-acyl transferase) family protein,1.050229489,0.676376221
Q9M2L4,AT3G57330.1,autoinhibited Ca2+-ATPase 11,1.050179615,0.199951685
P56759,ATCG00130.1,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast",1.049986858,0.401289885
Q9S834,AT1G02560.1,nuclear encoded CLP protease 5,1.049961213,0.515868164
Q94K15,AT4G32680.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52343.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,1.049607453,0.74935339
Q9SU52,AT3G47890.1,Ubiquitin carboxyl-terminal hydrolase-related protein,1.049588396,0.690857948
Q9SGH9,AT3G01380.1,transferases;sulfuric ester hydrolases;catalytics;transferases,1.048834784,0.563695478
Q9C4Z6,AT1G48630.1,receptor for activated C kinase 1B,1.048520791,0.208685617
Q9LU40,AT3G21190.1,O-fucosyltransferase family protein,1.048072577,0.140128977
Q8LAS8,AT2G41530.1,S-formylglutathione hydrolase,1.047946989,0.318736339
Q9FMG6,AT5G64180.1,unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,1.047898515,0.476741542
P19366,ATCG00480.1,ATP synthase subunit beta,1.047505248,0.588989523
Q9LPI3,AT1G53645.1,hydroxyproline-rich glycoprotein family protein,1.046949584,0.620350947
Q6NKS4,AT5G47110.1,Chlorophyll A-B binding family protein,1.046176522,0.851878331
Q38955,AT3G26580.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.045516332,0.557379687
P31414,AT1G15690.1,Inorganic H pyrophosphatase family protein,1.045229324,0.537718929
Q9FF52,AT5G60670.1,Ribosomal protein L11 family protein,1.044933558,0.588336571
Q8RW90,AT1G12050.1,"fumarylacetoacetase, putative",1.044894911,0.601411111
Q8H1H8,AT1G15130.1,Endosomal targeting BRO1-like domain-containing protein,1.044721205,0.268082684
Q9SVL9,AT3G50790.1,esterase/lipase/thioesterase family protein,1.044489351,0.305282988
P54121,AT3G28930.1,AIG2-like (avirulence induced gene) family protein,1.044372536,0.30417307
Q9SK50,AT2G24820.1,translocon at the inner envelope membrane of chloroplasts 55-II,1.044024703,0.50448976
Q9FFR3,AT5G41670.1,6-phosphogluconate dehydrogenase family protein,1.043756753,0.146414796
Q38885,AT2G18710.1,SECY homolog 1,1.043677283,0.453832009
Q8L7W0,AT4G18060.1,SH3 domain-containing protein,1.04334302,0.381460482
O65449,AT4G22010.1,SKU5  similar 4,1.043126204,0.428619062
Q8LD46,AT2G39460.2,ribosomal protein L23AA,1.043121334,0.757179477
Q8GZ81,AT3G30300.1,O-fucosyltransferase family protein,1.041792803,0.349135683
P39697,AT5G47320.1,ribosomal protein S19,1.041281632,0.714209995
Q9LTS6,AT5G56940.1,Ribosomal protein S16 family protein,1.040733382,0.569702225
Q93ZR2,AT1G08040.1,Protein of unknown function (DUF707),1.040661568,0.763761924
Q9LFE2,AT5G16750.1,Transducin family protein / WD-40 repeat family protein,1.040572374,0.686874725
O48962,AT1G20050.1,"C-8,7 sterol isomerase",1.040460249,0.584257661
Q8VZP7,AT2G35800.1,mitochondrial substrate carrier family protein,1.040371563,0.436611082
Q9LEV5,AT5G10840.1,Endomembrane protein 70 protein family,1.039762021,0.295918913
O22164,AT2G44870.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits to 39 proteins in 18 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.03955664,0.458910271
Q9SX85,AT1G47550.1,exocyst complex component sec3A,1.039148599,0.742714159
Q9LXP4,AT3G44190.1,FAD/NAD(P)-binding oxidoreductase family protein,1.038873005,0.217799956
Q9LIE3,AT3G22190.1,IQ-domain 5,1.038820121,0.623235315
Q9SVW7,AT4G35490.1,mitochondrial ribosomal protein L11,1.038729015,0.364686348
Q0WUR3,AT4G19490.1,VPS54,1.038421182,0.349765958
B9DFK5,AT2G37860.3,Protein of unknown function (DUF3411),1.0376871,0.464009599
Q9LXC9,AT5G09650.1,pyrophosphorylase 6,1.037378778,0.611031155
Q9C6F9,AT1G58060.1,RNA helicase family protein,1.037268856,0.753908284
Q9LFH5,AT3G53430.1,Ribosomal protein L11 family protein,1.036971408,0.516324128
Q949U7,AT3G52960.1,Thioredoxin superfamily protein,1.036620106,0.462936672
P28188,AT1G02130.1,RAS 5,1.036266966,0.271538619
O23654,AT1G78900.1,vacuolar ATP synthase subunit A,1.03600988,0.098429581
Q9SRS5,AT3G07410.1,RAB GTPase homolog A5B,1.035035458,0.442767667
P51414,AT3G49910.1,Translation protein SH3-like family protein,1.034999496,0.309749169
Q9SAJ3,AT1G79560.1,FTSH protease 12,1.034724144,0.549414607
Q93WC5,AT4G01990.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.034671202,0.540283615
Q9XJ27,AT1G74970.1,ribosomal protein S9,1.034607273,0.664462299
Q9SJ03,AT2G21960.1,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G56180.1); Has 224 Blast hits to 222 proteins in 59 species: Archae - 0; Bacteria - 65; Metazoa - 0; Fungi - 0; Plants - 134; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).,1.033626103,0.609677946
Q9ZVI3,AT2G38610.2,RNA-binding KH domain-containing protein,1.033605398,0.518724588
Q9SRZ6,AT1G65930.1,cytosolic NADP+-dependent isocitrate dehydrogenase,1.033302211,0.443514565
Q8H0W1,AT3G24590.1,plastidic type i signal peptidase 1,1.033099125,0.631591537
Q9FDZ9,AT1G57860.1,Translation protein SH3-like family protein,1.033016742,0.781754811
Q38932,AT5G57030.1,Lycopene beta/epsilon cyclase protein,1.032521826,0.815463544
O22467,AT5G58230.1,Transducin/WD40 repeat-like superfamily protein,1.032500467,0.869609298
Q9SNC3,AT3G46550.1,Fasciclin-like arabinogalactan family protein,1.031994663,0.659246528
O23684,AT2G41950.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, plant-type cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 53 Blast hits to 53 proteins in 24 species: Archae - 0; Bacteria - 27; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",1.031969844,0.810293549
Q38950,AT3G25800.1,protein phosphatase 2A  subunit A2,1.031713295,0.647445469
O22870,AT2G43560.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein,1.0312736,0.776165182
Q94K91,AT3G22290.1,Endoplasmic reticulum vesicle transporter protein,1.03040238,0.845113649
Q8RXY4,AT2G41050.1,PQ-loop repeat family protein / transmembrane family protein,1.030247162,0.554931812
Q8W0Z8,AT3G51050.1,FG-GAP repeat-containing protein,1.030213035,0.781754811
P28185,AT1G06400.1,Ras-related small GTP-binding family protein,1.030120923,0.595749394
Q9FWA3,AT3G02360.1,6-phosphogluconate dehydrogenase family protein,1.030111848,0.185374095
Q9LIA8,AT3G29360.1,UDP-glucose 6-dehydrogenase family protein,1.029041203,0.619780522
Q8VZS6,AT3G13222.1,GBF-interacting protein 1,1.02818915,0.741202917
O04834,AT4G02080.1,secretion-associated RAS super family 2,1.028112904,0.564855492
Q9FFS8,AT5G41520.1,RNA binding Plectin/S10 domain-containing protein,1.027505932,0.566034517
P42825,AT5G22060.1,DNAJ homologue 2,1.026755557,0.528166432
Q9FJ81,AT5G52110.2,Protein of unknown function (DUF2930),1.026412222,0.867771559
O82660,AT5G23120.1,"photosystem II stability/assembly factor, chloroplast (HCF136)",1.025497995,0.696631181
Q0WVJ5,AT1G09850.1,xylem bark cysteine peptidase 3,1.024872872,0.600501776
Q9FHX2,AT5G42130.1,Mitochondrial substrate carrier family protein,1.024761762,0.831597334
Q9C7F9,AT1G27930.1,Protein of unknown function (DUF579),1.02428737,0.834892267
Q944L5,AT1G26740.1,Ribosomal L32p protein family,1.023264688,0.801141954
Q9LYD6,AT5G11560.1,catalytics,1.022980048,0.843727112
O23465,AT4G16180.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G28720.1); Has 5 Blast hits to 5 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,1.02283878,0.747675694
Q9C9I5,AT1G71480.1,Nuclear transport factor 2 (NTF2) family protein,1.022272464,0.818985919
Q84MA1,AT1G06560.1,NOL1/NOP2/sun family protein,1.022220964,0.82011407
Q0WT31,AT2G34300.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1.022036047,0.567383378
Q94EJ6,AT4G18030.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,1.021501243,0.691946894
Q9LVH5,AT3G17970.1,translocon at the outer membrane of chloroplasts 64-III,1.02119032,0.492273171
O50039,AT1G75330.1,ornithine carbamoyltransferase,1.021021162,0.858657751
Q0WML0,AT5G39040.1,transporter associated with antigen processing protein 2,1.020474615,0.701551781
Q93WJ5,AT1G72175.1,RING/U-box protein with domain of unknown function (DUF 1232),1.020273539,0.786880996
Q4V3C7,AT4G14230.1,CBS domain-containing protein with a domain of unknown function (DUF21),1.020193791,0.553385924
Q56XR7,AT3G25480.1,Rhodanese/Cell cycle control phosphatase superfamily protein,1.020191721,0.810293549
Q944S8,AT4G21105.1,cytochrome-c oxidases;electron carriers,1.019770703,0.956987846
Q9LJX5,AT3G20240.1,Mitochondrial substrate carrier family protein,1.019603727,0.725572431
Q9LRP6,AT3G15590.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.019069049,0.770716865
P58684,AT2G39960.1,Microsomal signal peptidase 25 kDa subunit (SPC25),1.018499091,0.837931057
Q9LNN2,AT1G53070.1,Legume lectin family protein,1.018264882,0.848190509
Q01908,AT4G04640.1,"ATPase, F1 complex, gamma subunit protein",1.018080289,0.862684813
Q9FE06,AT5G64260.1,EXORDIUM like 2,1.017720621,0.824113976
Q96283,AT3G46830.1,RAB GTPase homolog A2C,1.017363057,0.767869792
Q9LFS0,AT5G16040.1,Regulator of chromosome condensation (RCC1) family protein,1.016721011,0.818944692
Q93VS8,AT5G19820.1,ARM repeat superfamily protein,1.016566858,0.793932613
Q9LXR9,AT3G58830.1,haloacid dehalogenase (HAD) superfamily protein,1.016539556,0.860042553
Q9LYF7,AT5G11730.1,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",1.016048631,0.863531332
Q56ZN6,AT1G78920.2,vacuolar H+-pyrophosphatase 2,1.016023431,0.912371946
O24466,AT3G53610.2,RAB GTPase homolog 8,1.016020634,0.719119671
Q9SA14,AT1G31180.1,isopropylmalate dehydrogenase 3,1.015172302,0.896108739
Q9FHM7,AT5G51570.1,SPFH/Band 7/PHB domain-containing membrane-associated protein family,1.014002302,0.842416621
P82715,AT5G11450.1,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein,1.013935182,0.897163407
Q42347,AT2G36620.1,ribosomal protein L24,1.013682147,0.783958212
Q9FN48,AT5G23060.1,calcium sensing receptor,1.013129702,0.851878331
Q8LCL3,AT3G22230.1,Ribosomal L27e protein family,1.012637048,0.820914006
Q8VZ19,AT1G77940.1,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,1.012521561,0.7740378
Q84L08,AT5G19980.1,golgi nucleotide sugar transporter 4,1.012483984,0.929841726
Q8GXH2,AT1G29030.1,Apoptosis inhibitory protein 5 (API5),1.01183643,0.756691202
Q8L853,AT2G18900.1,Transducin/WD40 repeat-like superfamily protein,1.011703126,0.885310866
Q9LFT9,AT5G10260.1,RAB GTPase homolog H1E,1.011271158,0.950550949
Q9C9T8,AT1G73740.1,UDP-Glycosyltransferase superfamily protein,1.011046995,0.935321405
Q53YF3,AT5G27430.1,Signal peptidase subunit,1.010840036,0.892020032
Q9M9B4,AT1G49140.1,Complex I subunit NDUFS6,1.0107975,0.885076414
Q949Y8,AT2G39130.1,Transmembrane amino acid transporter family protein,1.010565975,0.818609089
Q8VZ10,AT1G56500.1,haloacid dehalogenase-like hydrolase family protein,1.010040203,0.849029226
Q94A40,AT1G62020.1,"Coatomer, alpha subunit",1.009369763,0.725029374
Q9LZN2,AT5G01990.1,Auxin efflux carrier family protein,1.009314219,0.929841726
Q9LSP7,AT3G17000.1,ubiquitin-conjugating enzyme 32,1.009172681,0.916041813
Q9LX65,AT3G42050.1,vacuolar ATP synthase subunit H family protein,1.00910074,0.879227365
Q9FXB0,AT1G56580.1,"Protein of unknown function, DUF538",1.008674896,0.945897323
O22940,AT2G41800.1,"Protein of unknown function, DUF642",1.008279862,0.687476434
Q9T0A0,AT4G23850.1,AMP-dependent synthetase and ligase family protein,1.008176837,0.910426909
Q9FYC2,AT3G44880.1,Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain,1.008092469,0.918436815
Q9FGP9,AT5G22790.1,reticulata-related 1,1.00797086,0.919106052
Q93XZ7,AT5G42570.1,B-cell receptor-associated 31-like,1.007773326,0.878327413
Q9SIY7,AT2G40380.1,prenylated RAB acceptor 1.B2,1.007198172,0.921739033
Q9LSP8,AT3G16940.1,calmodulin binding;transcription regulators,1.007067881,0.912371946
Q8VXW1,AT5G35100.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,1.006976427,0.892020032
Q7DM58,AT2G47800.1,multidrug resistance-associated protein 4,1.006394871,0.935464432
P17094,AT1G43170.3,ribosomal protein 1,1.006212494,0.928310412
Q9XII1,AT2G16070.2,plastid division2,1.005923642,0.96803654
Q84VX7,AT1G51540.1,Galactose oxidase/kelch repeat superfamily protein,1.00584821,0.912371946
Q42064,AT4G36130.1,Ribosomal protein L2 family,1.005555842,0.888685164
Q8LCN1,AT1G16740.1,Ribosomal protein L20,1.005096103,0.914639185
P49209,AT1G33140.1,Ribosomal protein L6 family,1.005044086,0.900920034
P57752,AT1G31812.1,acyl-CoA-binding protein 6,1.004572872,0.96728678
Q9M903,AT3G06960.1,pigment defective 320,1.004437162,0.934329758
Q9MA96,AT3G05230.1,Signal peptidase subunit,1.003659618,0.964928744
O80501,AT2G44610.1,Ras-related small GTP-binding family protein,1.003358403,0.958916042
Q9FZD1,AT1G26460.1,Tetratricopeptide repeat (TPR)-like superfamily protein,1.002739129,0.965615628
Q39085,AT3G19820.3,cell elongation protein / DWARF1 / DIMINUTO (DIM),1.002551678,0.961839147
Q94AI6,AT1G71820.1,SEC6,1.002203545,0.970867653
Q9M2U2,AT3G55360.1,3-oxo-5-alpha-steroid 4-dehydrogenase family protein,1.001693637,0.971153864
Q42577,AT5G11770.1,"NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial",0.999780466,0.998051136
Q8S4F6,AT5G01220.1,sulfoquinovosyldiacylglycerol 2,0.999608293,0.994768294
Q9C9C2,AT1G74010.1,Calcium-dependent phosphotriesterase superfamily protein,0.999524066,0.996142389
Q9SVY0,AT3G57660.1,nuclear RNA polymerase A1,0.999200486,0.990629231
O49485,AT4G34200.1,D-3-phosphoglycerate dehydrogenase,0.998755755,0.985824018
Q84TF6,AT1G09740.1,Adenine nucleotide alpha hydrolases-like superfamily protein,0.998363164,0.97979185
Q8W4C7,AT1G48420.1,D-cysteine desulfhydrase,0.996781252,0.970010374
O23657,AT1G43890.3,RAB GTPASE HOMOLOG B18,0.996683823,0.929841726
Q9LJI5,AT3G28710.1,"ATPase, V0/A0 complex, subunit C/D",0.996537585,0.974490827
Q9ZSB8,AT4G10620.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.996356845,0.961769664
Q9FMR9,AT5G22330.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.996250669,0.965045121
Q93VI3,AT1G27400.1,Ribosomal protein L22p/L17e family protein,0.996202028,0.954797401
Q9M0V5,AT4G05400.2,copper ion binding,0.995076788,0.924485975
O23515,AT4G16720.1,Ribosomal protein L23/L15e family protein,0.994917111,0.953557339
Q9FF90,AT5G23900.1,Ribosomal protein L13e family protein,0.994772807,0.941276046
P59231,AT5G22440.2,Ribosomal protein L1p/L10e family,0.994277733,0.936075922
Q9M214,AT3G60450.1,Phosphoglycerate mutase family protein,0.993899208,0.922756769
Q9LYF8,AT5G11720.1,Glycosyl hydrolases family 31  protein,0.993713294,0.931463243
P55826,AT4G01690.1,Flavin containing amine oxidoreductase family,0.993605857,0.92257976
Q8H126,AT5G13030.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0061 (InterPro:IPR003846); Has 5046 Blast hits to 4997 proteins in 1211 species: Archae - 8; Bacteria - 2327; Metazoa - 120; Fungi - 134; Plants - 48; Viruses - 0; Other Eukaryotes - 2409 (source: NCBI BLink).,0.993167621,0.911987877
Q9SJT7,AT2G21410.1,vacuolar proton ATPase A2,0.992943842,0.907763569
Q9CAT4,AT1G73200.1,Putative integral membrane protein conserved region (DUF2404),0.992620603,0.905703286
Q8GXW8,AT1G04780.1,Ankyrin repeat family protein,0.992404759,0.905966467
Q9T043,AT4G27090.1,Ribosomal protein L14,0.992292442,0.865052184
Q9LT72,AT3G19440.1,Pseudouridine synthase family protein,0.992290438,0.869887521
Q0WL65,AT2G40730.1,Protein kinase family protein with ARM repeat domain,0.991370978,0.884528092
Q8L7R2,AT2G17265.1,homoserine kinase,0.991055685,0.92586966
O80585,AT2G44160.1,methylenetetrahydrofolate reductase 2,0.990604721,0.888537954
Q9SJV2,AT2G21250.1,NAD(P)-linked oxidoreductase superfamily protein,0.99005362,0.901284003
Q96253,AT1G51650.1,"ATP synthase epsilon chain, mitochondrial",0.990015451,0.929952911
