"","uniprot","Protein.Acc","Protein.Descriptions","up.low","P.value..up.low.","iso_id","uniprot_seq_length","uniprot_seq_md5","coordinate_id","provider","from","to","template","qmean","qmean_norm","seqid","url"
"2878","Q9C977","AT1G80270.1","PENTATRICOPEPTIDE REPEAT 596","0.781243415","0.001149616","596","f4ff230ee6317104a7b64cdd88651bc3","5f0009a6d3b21c53b82b360f","SWISSMODEL","129","568","5nnp.2.A","-4.0040325439","0.6369926608","12.1212120056","https://swissmodel.expasy.org/repository/uniprot/Q9C977.pdb?provider=swissmodel&from=129&to=568&template=5nnp.2.A&provider=swissmodel","Q9C977"
"2879","Q9C977","AT1G80270.1","PENTATRICOPEPTIDE REPEAT 596","0.781243415","0.001149616","596","f4ff230ee6317104a7b64cdd88651bc3","5f0009a6d3b21c53b82b3613","SWISSMODEL","143","581","6sgb.23.A","-3.0502139701","0.6684709714","11.6972475052","https://swissmodel.expasy.org/repository/uniprot/Q9C977.pdb?provider=swissmodel&from=143&to=581&template=6sgb.23.A&provider=swissmodel","Q9C977"
"2880","Q9C977","AT1G80270.1","PENTATRICOPEPTIDE REPEAT 596","0.781243415","0.001149616","596","f4ff230ee6317104a7b64cdd88651bc3","5f0009a6d3b21c53b82b361f","SWISSMODEL","160","595","6qx9.31.A","-3.4973961686","0.651869655","10.5882349014","https://swissmodel.expasy.org/repository/uniprot/Q9C977.pdb?provider=swissmodel&from=160&to=595&template=6qx9.31.A&provider=swissmodel","Q9C977"
"2881","Q9C977","AT1G80270.1","PENTATRICOPEPTIDE REPEAT 596","0.781243415","0.001149616","596","f4ff230ee6317104a7b64cdd88651bc3","5f0009a6d3b21c53b82b35fb","SWISSMODEL","142","581","4m57.1.A","-3.4659413196","0.6550001742","16.8564910889","https://swissmodel.expasy.org/repository/uniprot/Q9C977.pdb?provider=swissmodel&from=142&to=581&template=4m57.1.A&provider=swissmodel","Q9C977"
"2882","Q9C977","AT1G80270.1","PENTATRICOPEPTIDE REPEAT 596","0.781243415","0.001149616","596","f4ff230ee6317104a7b64cdd88651bc3","5f0009a6d3b21c53b82b3607","SWISSMODEL","142","582","6xyw.39.A","-2.778465879","0.6781269134","26.710817337","https://swissmodel.expasy.org/repository/uniprot/Q9C977.pdb?provider=swissmodel&from=142&to=582&template=6xyw.39.A&provider=swissmodel","Q9C977"
"2883","Q9C9B5","AT1G73940.1","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G49410.2); Has 54 Blast hits to 54 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).","1.178934628","0.058544931","151","68d60ca29897441ed356bd899e881e17","5f00f35af8cf8bd157c81528","SWISSMODEL","45","126","6xyw.37.A","-2.3382169361","0.6432935602","100","https://swissmodel.expasy.org/repository/uniprot/Q9C9B5.pdb?provider=swissmodel&from=45&to=126&template=6xyw.37.A&provider=swissmodel","Q9C9B5"
"2884","Q9C9B9","AT1G73980.1","Phosphoribulokinase / Uridine kinase family","0.657465391","2.57339e-05","643","5b27cc371351fd9da1122fa825fe0660","5f006ba99dae28a5fa38e255","SWISSMODEL","63","239","6n53.1.C","-0.4202600468","0.7488713228","30.3370780945","https://swissmodel.expasy.org/repository/uniprot/Q9C9B9.pdb?provider=swissmodel&from=63&to=239&template=6n53.1.C&provider=swissmodel","Q9C9B9"
"2885","Q9C9C0","AT1G73990.1","signal peptide peptidase","1.408809954","1.13886e-05","677","7af72ac8a2d37a2e544bfb184e4c2073","5f00b681a348097964847fb9","SWISSMODEL","123","607","3bez.1.A","-2.5118219281","0.6756929626","24.5681381226","https://swissmodel.expasy.org/repository/uniprot/Q9C9C0.pdb?provider=swissmodel&from=123&to=607&template=3bez.1.A&provider=swissmodel","Q9C9C0"
"2886","Q9C9C2","AT1G74010.1","Calcium-dependent phosphotriesterase superfamily protein","0.999524066","0.996142389","325","2bbca9f93ce52050d093e8c9a00a515d","5efe3961f9e8518fc7548409","SWISSMODEL","37","323","2fpb.2.B","-1.5959105699","0.710021418","42.1052627563","https://swissmodel.expasy.org/repository/uniprot/Q9C9C2.pdb?provider=swissmodel&from=37&to=323&template=2fpb.2.B&provider=swissmodel","Q9C9C2"
"2887","Q9C9C2","AT1G74010.1","Calcium-dependent phosphotriesterase superfamily protein","0.999524066","0.996142389","325","2bbca9f93ce52050d093e8c9a00a515d","5efe3961f9e8518fc754840d","SWISSMODEL","36","289","6pwv.1.A","-4.6905695039","0.5848715124","11.9469022751","https://swissmodel.expasy.org/repository/uniprot/Q9C9C2.pdb?provider=swissmodel&from=36&to=289&template=6pwv.1.A&provider=swissmodel","Q9C9C2"
"2888","Q9C9C4","AT1G74030.1","enolase 1","1.507059949","0.00017767","477","7411d30162f5498fca933078a58ae4a3","5eff2fbcea0ddf5aebd0f893","SWISSMODEL","50","477","5wro.1.B","-0.4589053261","0.747519224","70.0234222412","https://swissmodel.expasy.org/repository/uniprot/Q9C9C4.pdb?provider=swissmodel&from=50&to=477&template=5wro.1.B&provider=swissmodel","Q9C9C4"
"2889","Q9C9C5","AT1G74050.1","Ribosomal protein L6 family protein","1.076941363","0.326997336","233","3049b0fd3342d8f031dd27e08741d436","589ea8b51405500d573df4a8","SWISSMODEL","8","233","5t2c.35.A","-4.0210947736","0.6124405107","48.9177474976","https://swissmodel.expasy.org/repository/uniprot/Q9C9C5.pdb?provider=swissmodel&from=8&to=233&template=5t2c.35.A&provider=swissmodel","Q9C9C5"
"2890","Q9C9E6","AT1G72480.1","Lung seven transmembrane receptor family protein","1.119772167","0.209856244","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2891","Q9C9E8","AT1G72500.1","LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: von Willebrand factor, type A (InterPro:IPR002035); BEST Arabidopsis thaliana protein match is: inter-alpha-trypsin inhibitor heavy chain-related (TAIR:AT1G19110.1); Has 1407 Blast hits to 1406 proteins in 307 species: Archae - 6; Bacteria - 522; Metazoa - 484; Fungi - 59; Plants - 110; Viruses - 0; Other Eukaryotes - 226 (source: NCBI BLink).","1.544030034","0.071620803","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2892","Q9C9F7","AT1G68220.1","Protein of unknown function (DUF1218)","1.331373308","0.00210372","201","1bb19aa07ede859089dfc755e4b6c9d0","5c68bc158fd6f9468fa325b1","SWISSMODEL","3","124","5b2g.2.A","-4.937522275","0.5213203498","14.7826089859","https://swissmodel.expasy.org/repository/uniprot/Q9C9F7.pdb?provider=swissmodel&from=3&to=124&template=5b2g.2.A&provider=swissmodel","Q9C9F7"
"2893","Q9C9G5","AT1G68300.1","Adenine nucleotide alpha hydrolases-like superfamily protein","0.810894682","0.001878081","160","6e9fea159cccb13e95e462f9bef5245b","5f00d2af83f2a774515e3f85","SWISSMODEL","8","156","3hgm.1.A","-3.4415506359","0.6448254312","30.5555553436","https://swissmodel.expasy.org/repository/uniprot/Q9C9G5.pdb?provider=swissmodel&from=8&to=156&template=3hgm.1.A&provider=swissmodel","Q9C9G5"
"2894","Q9C9H5","AT1G71380.1","cellulase 3","1.246531029","0.014569485","484","dbf6328fe0a6abfadcfa5a9442f41388","5eff3d658637592ac3b3a995","SWISSMODEL","22","480","3wc3.1.A","-4.2321929425","0.6335335728","42.1176452637","https://swissmodel.expasy.org/repository/uniprot/Q9C9H5.pdb?provider=swissmodel&from=22&to=480&template=3wc3.1.A&provider=swissmodel","Q9C9H5"
"2895","Q9C9I5","AT1G71480.1","Nuclear transport factor 2 (NTF2) family protein","1.022272464","0.818985919","216","e5771c4027cc95328eb792a504dad7f4","5effcbdb1f0fff4ffdc001c7","SWISSMODEL","68","181","3nhx.1.B","-4.0480220317","0.612466381","28.571428299","https://swissmodel.expasy.org/repository/uniprot/Q9C9I5.pdb?provider=swissmodel&from=68&to=181&template=3nhx.1.B&provider=swissmodel","Q9C9I5"
"2896","Q9C9I5","AT1G71480.1","Nuclear transport factor 2 (NTF2) family protein","1.022272464","0.818985919","216","e5771c4027cc95328eb792a504dad7f4","5effcbdb1f0fff4ffdc001c3","SWISSMODEL","69","192","1ohp.1.A","-4.1857834922","0.6023305086","21.367521286","https://swissmodel.expasy.org/repository/uniprot/Q9C9I5.pdb?provider=swissmodel&from=69&to=192&template=1ohp.1.A&provider=swissmodel","Q9C9I5"
"2897","Q9C9I7","AT1G71500.1","Rieske (2Fe-2S) domain-containing protein","0.881512329","0.044853511","287","d0dd360ab43a2fbab070a9b1c8f3016c","5efeddd9d0ad67c010e7ece6","SWISSMODEL","78","198","3d89.1.A","-2.3576173718","0.657762153","25.2100849152","https://swissmodel.expasy.org/repository/uniprot/Q9C9I7.pdb?provider=swissmodel&from=78&to=198&template=3d89.1.A&provider=swissmodel","Q9C9I7"
"2898","Q9C9K3","AT1G76550.1","Phosphofructokinase family protein","1.232807929","0.099509406","617","80bd5705fcfcde1f2d37fe8633cdebe9","5f004a0adc43143efa9235e1","SWISSMODEL","11","559","1kzh.1.A","-1.3399945396","0.716692183","36.3128509521","https://swissmodel.expasy.org/repository/uniprot/Q9C9K3.pdb?provider=swissmodel&from=11&to=559&template=1kzh.1.A&provider=swissmodel","Q9C9K3"
"2899","Q9C9N4","AT1G66820.1","glycine-rich protein","1.165005222","0.180103366","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2900","Q9C9P4","AT1G74960.2","fatty acid biosynthesis 1","1.288437001","0.001185582","541","72182aa686e02a9407ad1c84fb825c59","5effb550cabb6fb9045eb669","SWISSMODEL","129","540","2gfy.1.B","-2.1189150851","0.6894397605","45.8536567688","https://swissmodel.expasy.org/repository/uniprot/Q9C9P4.pdb?provider=swissmodel&from=129&to=540&template=2gfy.1.B&provider=swissmodel","Q9C9P4"
"2901","Q9C9Q8","AT1G78240.2","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","0.525941819","8.37806e-06","684","b15a95fc31891b04aa03720c297a5063","5eea4fdb546eb70335f400e7","SWISSMODEL","531","675","3ofk.1.A","-4.2617239375","0.5714045266","15.1079139709","https://swissmodel.expasy.org/repository/uniprot/Q9C9Q8.pdb?provider=swissmodel&from=531&to=675&template=3ofk.1.A&provider=swissmodel","Q9C9Q8"
"2902","Q9C9T8","AT1G73740.1","UDP-Glycosyltransferase superfamily protein","1.011046995","0.935321405","431","a041d62d772eebe9a950c6f0ce2582f6","5efe7c2e93ea027978a4d5ea","SWISSMODEL","52","426","5w8s.1.A","-4.461472413","0.6120284959","17.201166153","https://swissmodel.expasy.org/repository/uniprot/Q9C9T8.pdb?provider=swissmodel&from=52&to=426&template=5w8s.1.A&provider=swissmodel","Q9C9T8"
"2903","Q9C9T8","AT1G73740.1","UDP-Glycosyltransferase superfamily protein","1.011046995","0.935321405","431","a041d62d772eebe9a950c6f0ce2582f6","5efe7c2e93ea027978a4d5ee","SWISSMODEL","53","426","3s2u.1.A","-3.4935826763","0.64671922","30.8781871796","https://swissmodel.expasy.org/repository/uniprot/Q9C9T8.pdb?provider=swissmodel&from=53&to=426&template=3s2u.1.A&provider=swissmodel","Q9C9T8"
"2904","Q9C9U7","AT1G73640.1","RAB GTPase homolog A6A","1.122391115","0.04605597","233","104fd272aa3b5b68c387daa0bdc45206","5eff93cc22a6ed4db513ce28","SWISSMODEL","11","180","2iez.1.A","-4.6941798646","0.5726972673","39.2473106384","https://swissmodel.expasy.org/repository/uniprot/Q9C9U7.pdb?provider=swissmodel&from=11&to=180&template=2iez.1.A&provider=swissmodel","Q9C9U7"
"2905","Q9C9U7","AT1G73640.1","RAB GTPase homolog A6A","1.122391115","0.04605597","233","104fd272aa3b5b68c387daa0bdc45206","5eff93cc22a6ed4db513ce24","SWISSMODEL","8","184","4d0l.3.B","-2.3637413634","0.6786136323","58.9189186096","https://swissmodel.expasy.org/repository/uniprot/Q9C9U7.pdb?provider=swissmodel&from=8&to=184&template=4d0l.3.B&provider=swissmodel","Q9C9U7"
"2906","Q9C9V9","AT1G67930.1","Golgi transport complex protein-related","0.590488027","0.000555637","832","58ed04f5bf222086e5942b48eb15f848","5f013293d7129f6917c2d896","SWISSMODEL","83","185","3lg7.1.A","-1.6543992717","0.7057653917","17.8947372437","https://swissmodel.expasy.org/repository/uniprot/Q9C9V9.pdb?provider=swissmodel&from=83&to=185&template=3lg7.1.A&provider=swissmodel","Q9C9V9"
"2907","Q9C9V9","AT1G67930.1","Golgi transport complex protein-related","0.590488027","0.000555637","832","58ed04f5bf222086e5942b48eb15f848","5f013293d7129f6917c2d89a","SWISSMODEL","79","236","5j1i.1.A","-3.1735549575","0.6284707405","9.655172348","https://swissmodel.expasy.org/repository/uniprot/Q9C9V9.pdb?provider=swissmodel&from=79&to=236&template=5j1i.1.A&provider=swissmodel","Q9C9V9"
"2908","Q9C9V9","AT1G67930.1","Golgi transport complex protein-related","0.590488027","0.000555637","832","58ed04f5bf222086e5942b48eb15f848","5f013293d7129f6917c2d88e","SWISSMODEL","141","407","4u6u.1.B","-4.1892254959","0.6047823021","16.0337543488","https://swissmodel.expasy.org/repository/uniprot/Q9C9V9.pdb?provider=swissmodel&from=141&to=407&template=4u6u.1.B&provider=swissmodel","Q9C9V9"
"2909","Q9C9V9","AT1G67930.1","Golgi transport complex protein-related","0.590488027","0.000555637","832","58ed04f5bf222086e5942b48eb15f848","5f013293d7129f6917c2d892","SWISSMODEL","79","281","3l39.1.A","-3.4744080005","0.6396175941","8.5561494827","https://swissmodel.expasy.org/repository/uniprot/Q9C9V9.pdb?provider=swissmodel&from=79&to=281&template=3l39.1.A&provider=swissmodel","Q9C9V9"
"2910","Q9C9V9","AT1G67930.1","Golgi transport complex protein-related","0.590488027","0.000555637","832","58ed04f5bf222086e5942b48eb15f848","5f013293d7129f6917c2d88a","SWISSMODEL","80","185","2v71.1.B","-1.6937318981","0.6986826068","14.4329900742","https://swissmodel.expasy.org/repository/uniprot/Q9C9V9.pdb?provider=swissmodel&from=80&to=185&template=2v71.1.B&provider=swissmodel","Q9C9V9"
"2911","Q9C9X1","AT1G68070.1","Zinc finger, C3HC4 type (RING finger) family protein","1.083203208","0.074826956","343","c25a4d0a834221216a637bd7bab0866d","5efda3973649672af6bd8218","SWISSMODEL","242","340","4v3k.2.C","-4.3644936517","0.5540014113","41.0958900452","https://swissmodel.expasy.org/repository/uniprot/Q9C9X1.pdb?provider=swissmodel&from=242&to=340&template=4v3k.2.C&provider=swissmodel","Q9C9X1"
"2912","Q9C9X1","AT1G68070.1","Zinc finger, C3HC4 type (RING finger) family protein","1.083203208","0.074826956","343","c25a4d0a834221216a637bd7bab0866d","5efda3973649672af6bd8214","SWISSMODEL","66","202","3ny8.1.A","-4.2104523417","0.5586234021","12.5","https://swissmodel.expasy.org/repository/uniprot/Q9C9X1.pdb?provider=swissmodel&from=66&to=202&template=3ny8.1.A&provider=swissmodel","Q9C9X1"
"2913","Q9C9Z2","AT3G08640.1","Protein of unknown function (DUF3411)","0.960933695","0.661942455","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2914","Q9C9Z3","AT3G08630.1","Protein of unknown function (DUF3411)","1.430582469","0.004060251","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2915","Q9CA19","AT1G77750.1","Ribosomal protein S13/S18 family","0.810392463","0.003358586","154","4620660b2809485b80a56e9153e16bf4","5f00e8d61fe35332bfdaa806","SWISSMODEL","33","123","6xyw.47.A","-4.2458677229","0.5431802732","100","https://swissmodel.expasy.org/repository/uniprot/Q9CA19.pdb?provider=swissmodel&from=33&to=123&template=6xyw.47.A&provider=swissmodel","Q9CA19"
"2916","Q9CA19","AT1G77750.1","Ribosomal protein S13/S18 family","0.810392463","0.003358586","154","4620660b2809485b80a56e9153e16bf4","5f00e8d61fe35332bfdaa80a","SWISSMODEL","33","154","2f4v.1.M","-3.6533423395","0.589014982","48.3606567383","https://swissmodel.expasy.org/repository/uniprot/Q9CA19.pdb?provider=swissmodel&from=33&to=154&template=2f4v.1.M&provider=swissmodel","Q9CA19"
"2917","Q9CA23","AT1G77710.1","CONTAINS InterPro DOMAIN/s: Ubiquitin-like, Ufm1 (InterPro:IPR005375); Has 244 Blast hits to 244 proteins in 106 species: Archae - 0; Bacteria - 0; Metazoa - 149; Fungi - 0; Plants - 47; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).","0.959389303","0.4721125","93","c9b1577edbb2a099413fbd10f8a91c25","5f020b7c7eef08a9e08987bc","SWISSMODEL","4","86","5xda.1.E","-0.4095520804","0.7691861718","84.337348938","https://swissmodel.expasy.org/repository/uniprot/Q9CA23.pdb?provider=swissmodel&from=4&to=86&template=5xda.1.E&provider=swissmodel","Q9CA23"
"2918","Q9CA34","AT1G68470.1","Exostosin family protein","0.794133439","0.006233649","455","e8aa23bb1d153b6b33928896299b46b4","5efea51c820360e0857f76de","SWISSMODEL","261","443","5xvm.1.A","-4.8443049472","0.5747572272","11.9047622681","https://swissmodel.expasy.org/repository/uniprot/Q9CA34.pdb?provider=swissmodel&from=261&to=443&template=5xvm.1.A&provider=swissmodel","Q9CA34"
"2919","Q9CA67","AT1G74470.1","Pyridine nucleotide-disulphide oxidoreductase family protein","1.286964632","0.13360296","467","bae2c1e12f3a2dc272e15f5a4f7e0ced","5eff16f39bdf50cbeb69a385","SWISSMODEL","55","438","3oz2.1.A","-3.1671590664","0.6581842417","21.8579235077","https://swissmodel.expasy.org/repository/uniprot/Q9CA67.pdb?provider=swissmodel&from=55&to=438&template=3oz2.1.A&provider=swissmodel","Q9CA67"
"2920","Q9CA75","AT1G74380.1","xyloglucan xylosyltransferase 5","0.604807265","0.000187943","457","88f51e8c831a6586a4ec5c6c63a050de","5efea84ef55b5fcd847127c6","SWISSMODEL","119","453","6bsv.1.A","-1.1110237476","0.724703281","66.2686538696","https://swissmodel.expasy.org/repository/uniprot/Q9CA75.pdb?provider=swissmodel&from=119&to=453&template=6bsv.1.A&provider=swissmodel","Q9CA75"
"2921","Q9CAD1","AT1G63660.1","GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase, putative","1.485859357","0.000596725","534","90db4c08cde7ee9d0301c9c0da125810","5effa974c5197b444b533709","SWISSMODEL","6","534","2vxo.1.A","-3.2778093358","0.6488930371","37.254901886","https://swissmodel.expasy.org/repository/uniprot/Q9CAD1.pdb?provider=swissmodel&from=6&to=534&template=2vxo.1.A&provider=swissmodel","Q9CAD1"
"2922","Q9CAD1","AT1G63660.1","GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase, putative","1.485859357","0.000596725","534","90db4c08cde7ee9d0301c9c0da125810","5effa974c5197b444b53370d","SWISSMODEL","9","534","4wio.1.B","-1.8497023773","0.6988588193","44.2084960938","https://swissmodel.expasy.org/repository/uniprot/Q9CAD1.pdb?provider=swissmodel&from=9&to=534&template=4wio.1.B&provider=swissmodel","Q9CAD1"
"2923","Q9CAD1","AT1G63660.1","GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase, putative","1.485859357","0.000596725","534","90db4c08cde7ee9d0301c9c0da125810","5effa974c5197b444b533705","SWISSMODEL","7","534","5tw7.1.A","-0.8684440908","0.733190518","50.8771934509","https://swissmodel.expasy.org/repository/uniprot/Q9CAD1.pdb?provider=swissmodel&from=7&to=534&template=5tw7.1.A&provider=swissmodel","Q9CAD1"
"2924","Q9CAF6","AT3G10690.1","DNA GYRASE A","0.590930495","0.001482515","950","d39df6a22ce444d188ba371294f4060f","5f018c2c9492396bdc58f327","SWISSMODEL","124","854","1zvu.1.B","-3.3059705099","0.6479077502","36.217010498","https://swissmodel.expasy.org/repository/uniprot/Q9CAF6.pdb?provider=swissmodel&from=124&to=854&template=1zvu.1.B&provider=swissmodel","Q9CAF6"
"2925","Q9CAF6","AT3G10690.1","DNA GYRASE A","0.590930495","0.001482515","950","d39df6a22ce444d188ba371294f4060f","5f018c2c9492396bdc58f323","SWISSMODEL","100","584","6gav.1.A","-0.8192381151","0.7349121083","48.1327819824","https://swissmodel.expasy.org/repository/uniprot/Q9CAF6.pdb?provider=swissmodel&from=100&to=584&template=6gav.1.A&provider=swissmodel","Q9CAF6"
"2926","Q9CAI4","AT1G72690.1","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17490.1); Has 59 Blast hits to 45 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 59; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).","1.61468672","0.001815026","87","5c377659c1314b2fa5195418a012f86e","5f02254277516637e62d86e6","SWISSMODEL","53","85","3kpa.2.A","0.4468120608","0.8139590737","30.303030014","https://swissmodel.expasy.org/repository/uniprot/Q9CAI4.pdb?provider=swissmodel&from=53&to=85&template=3kpa.2.A&provider=swissmodel","Q9CAI4"
"2927","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebda","SWISSMODEL","31","408","3eiq.1.C","-2.0795615449","0.6975952105","70.7692337036","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=31&to=408&template=3eiq.1.C&provider=swissmodel","Q9CAI7"
"2928","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebd6","SWISSMODEL","38","414","5zc9.1.A","-0.522268551","0.7535786648","70.80103302","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=38&to=414&template=5zc9.1.A&provider=swissmodel","Q9CAI7"
"2929","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebce","SWISSMODEL","42","406","4kbf.2.B","-1.6064119406","0.7163850634","33.8888893127","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=42&to=406&template=4kbf.2.B&provider=swissmodel","Q9CAI7"
"2930","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebca","SWISSMODEL","41","410","4ct5.1.A","-2.3590508472","0.6894212407","39.4021720886","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=41&to=410&template=4ct5.1.A&provider=swissmodel","Q9CAI7"
"2931","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebd2","SWISSMODEL","42","406","4kbf.1.A","-1.0409332372","0.7365816276","33.8888893127","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=42&to=406&template=4kbf.1.A&provider=swissmodel","Q9CAI7"
"2932","Q9CAI7","AT1G72730.1","DEA(D/H)-box RNA helicase family protein","1.119472887","0.457006112","414","0ca1cbfd884b5e97494aa3c8390cf388","5efe5eb174a995839358ebde","SWISSMODEL","18","414","4c9b.1.A","-0.467526308","0.7548150424","62.8992614746","https://swissmodel.expasy.org/repository/uniprot/Q9CAI7.pdb?provider=swissmodel&from=18&to=414&template=4c9b.1.A&provider=swissmodel","Q9CAI7"
"2933","Q9CAL2","AT1G70530.1","cysteine-rich RLK (RECEPTOR-like protein kinase) 3","1.877899084","6.15229e-06","646","e52bed355770da2473fe481e67e8571c","5ad6fefc140550a65eb85cca","SWISSMODEL","307","594","3tl8.1.A","-2.1852956664","0.6874322456","43.9446372986","https://swissmodel.expasy.org/repository/uniprot/Q9CAL2.pdb?provider=swissmodel&from=307&to=594&template=3tl8.1.A&provider=swissmodel","Q9CAL2"
"2934","Q9CAL3","AT1G70520.1","cysteine-rich RLK (RECEPTOR-like protein kinase) 2","2.394646423","7.43623e-07","649","44f0c3d9481bc7ff77792b5a2ff5f6bb","5f0093477265e570abefaff4","SWISSMODEL","311","613","6cth.1.A","-2.2535588801","0.6919897662","38.6440696716","https://swissmodel.expasy.org/repository/uniprot/Q9CAL3.pdb?provider=swissmodel&from=311&to=613&template=6cth.1.A&provider=swissmodel","Q9CAL3"
"2935","Q9CAM7","AT1G63160.1","replication factor C 2","1.051376652","0.889552009","333","e096dee118cf215a4df05f74370bbeac","5efdbf26e9572f21896523f0","SWISSMODEL","13","323","6vvo.1.B","-0.928516322","0.7420462481","67.0807418823","https://swissmodel.expasy.org/repository/uniprot/Q9CAM7.pdb?provider=swissmodel&from=13&to=323&template=6vvo.1.B&provider=swissmodel","Q9CAM7"
"2936","Q9CAN8","AT1G63050.1","MBOAT (membrane bound O-acyl transferase) family protein","1.185920271","0.299789959","465","f1806dcfb53e7660d849b5a011f8abde","5d6aac4d8fd6f9e147a82936","SWISSMODEL","340","448","6euq.1.A","-4.4682777039","0.5511697983","7.7669901848","https://swissmodel.expasy.org/repository/uniprot/Q9CAN8.pdb?provider=swissmodel&from=340&to=448&template=6euq.1.A&provider=swissmodel","Q9CAN8"
"2937","Q9CAP8","AT1G77590.1","long chain acyl-CoA synthetase 9","1.109220166","0.131776259","691","43700c4e7812c558fe7432f08ba27bc2","5f00c06cbb4621a7ef9d8122","SWISSMODEL","57","661","3g7s.1.A","-4.5601870725","0.6040259449","23.5756378174","https://swissmodel.expasy.org/repository/uniprot/Q9CAP8.pdb?provider=swissmodel&from=57&to=661&template=3g7s.1.A&provider=swissmodel","Q9CAP8"
"2938","Q9CAP8","AT1G77590.1","long chain acyl-CoA synthetase 9","1.109220166","0.131776259","691","43700c4e7812c558fe7432f08ba27bc2","5f00c06cbb4621a7ef9d812a","SWISSMODEL","57","690","5mss.1.A","-4.0557207546","0.6216759213","26.1946907043","https://swissmodel.expasy.org/repository/uniprot/Q9CAP8.pdb?provider=swissmodel&from=57&to=690&template=5mss.1.A&provider=swissmodel","Q9CAP8"
"2939","Q9CAP8","AT1G77590.1","long chain acyl-CoA synthetase 9","1.109220166","0.131776259","691","43700c4e7812c558fe7432f08ba27bc2","5f00c06cbb4621a7ef9d8126","SWISSMODEL","57","691","6oz1.1.A","-4.4509703313","0.6078471572","27.56183815","https://swissmodel.expasy.org/repository/uniprot/Q9CAP8.pdb?provider=swissmodel&from=57&to=691&template=6oz1.1.A&provider=swissmodel","Q9CAP8"
"2940","Q9CAR7","AT1G69840.7","SPFH/Band 7/PHB domain-containing membrane-associated protein family","2.068149444","1.19096e-06","286","6d0b108f2047d075d177bc5f6158c4f9","5a7d4c30573f204932a46040","SWISSMODEL","8","163","4hl8.4.V","-4.0809843865","0.5708147267","14.4736843109","https://swissmodel.expasy.org/repository/uniprot/Q9CAR7.pdb?provider=swissmodel&from=8&to=163&template=4hl8.4.V&provider=swissmodel","Q9CAR7"
"2941","Q9CAR7","AT1G69840.7","SPFH/Band 7/PHB domain-containing membrane-associated protein family","2.068149444","1.19096e-06","286","6d0b108f2047d075d177bc5f6158c4f9","5a7d4c30573f204932a4603c","SWISSMODEL","41","159","4fvf.1.B","-2.097200403","0.6747886727","22.0472450256","https://swissmodel.expasy.org/repository/uniprot/Q9CAR7.pdb?provider=swissmodel&from=41&to=159&template=4fvf.1.B&provider=swissmodel","Q9CAR7"
